,1,message,label,4
32,40032,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy,sadness,0.833
33,40033,"@xBFDR yeah I'm sure it will, it's just so depressing having to talk to my parents over the phone instead of talking to them downstairs",sadness,0.833
34,40034,| At home sick... 🎼The blues🎼 won't cure it so I need ideas 🎸😭 | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa,sadness,0.833
35,40035,I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression,sadness,0.833
36,40036,sorry Main twitter im in depress,sadness,0.833
37,40037,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",sadness,0.833
38,40038,come to the funeral tomorrow at 12 to mourn the death of my gpa,sadness,0.833
39,40039,"@TNFryed Jesus, you just made think that of all the Vols v fl games I've seen. I've never seen a win. #depression",sadness,0.833
40,40040,After spending £450 @Debenhams I was offered a £5 voucher. I asked if I could spend it at weekend? Was told 'no valid today only' #unhappy,sadness,0.8140000000000001
41,40041,Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged 😪,sadness,0.812
42,40042,depress 😭,sadness,0.812
43,40043,"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem",sadness,0.812
44,40044,Summer officially ends today. #sadness,sadness,0.812
45,40045,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,sadness,0.812
46,40046,"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",sadness,0.812
47,40047,"Oh, I should just 'get over' my #depression and 'be happy?' Don't you think I've tried that thousands of times already? You're not helping.",sadness,0.812
48,40048,Im really constipated. This is depressing,sadness,0.812
49,40049,When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT,sadness,0.8109999999999999
50,40050,Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor,sadness,0.81
51,40051,@Christy_RTR @doge_e_fresh I'm despondent,sadness,0.8059999999999999
52,40052,2 applications for my dbs and still waiting. Been over a year now. Going to loose my job 👍🏿 @GOVUK  #thanks #unhappy #crb,sadness,0.792
53,40053,I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now 😞,sadness,0.792
54,40054,@Hayles_101 The three R's depress me.,sadness,0.792
55,40055,Too many gloomy days,sadness,0.792
56,40056,The weather sure matches the mood in this state today.. #gloomy,sadness,0.792
57,40057,and again dirty and  self loathing attitude  mope talking,sadness,0.792
58,40058,Wearing all black tomorrow as I continue to mourn the lives of the most recent victims of police brutality. #blackout #WU,sadness,0.779
59,40059,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁,sadness,0.7709999999999999
60,40060,My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe,sadness,0.7709999999999999
61,40061,"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP",sadness,0.7709999999999999
62,40062,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired ,sadness,0.7709999999999999
63,40063,"@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get",sadness,0.7709999999999999
64,40064,We have left #Maine. #sadness,sadness,0.7709999999999999
65,40065,"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them.",sadness,0.7709999999999999
66,40066,@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions,sadness,0.7709999999999999
67,40067,It's interesting the photo of Mono Lisa is crying as well as the whole scene is very depressing #ELE6200,sadness,0.7709999999999999
68,40068,The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness,sadness,0.7709999999999999
69,40069,Never ever been this unhappy before in my life lmao,sadness,0.7709999999999999
70,40070,@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. #unhappy,sadness,0.7709999999999999
71,40071,Condolences to the  JC and the Georges family.. #sad,sadness,0.7709999999999999
72,40072,No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,sadness,0.767
73,40073,Groom gloom.,sadness,0.7659999999999999
74,40074,I don't think I can go to work tomorrow since val has left #GBBO I need a day to mourn,sadness,0.754
75,40075,Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.,sadness,0.754
76,40076,@6itmap I can't help but feel melancholic!,sadness,0.75
77,40077,@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.,sadness,0.75
78,40078,If anybody needs me I'll be drowning my blues in a sea of whiskey 🍻,sadness,0.75
79,40079,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness,0.75
80,40080,in health we did a think about depression and now i feel like i have it,sadness,0.75
81,40081,@Gaychel22 @Kellee_II @seattlepi even hard facts don't seem to be sinking in... I despair 😩,sadness,0.75
82,40082,So depressing that it's darker so much earlier now,sadness,0.75
83,40083,@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if can’t just Re-tweet,sadness,0.75
84,40084,Currently unfollowing anything relating to disneyworld or Florida! #holidayblues #depressing #wantogoback 😭💔,sadness,0.75
85,40085,It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh 😒,sadness,0.75
86,40086,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired #lost,sadness,0.75
87,40087,"So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing",sadness,0.75
88,40088,@crimsonwulfe it's super sad!! Especially when you are talking to a real person and not a bot! Makes it feel real :(,sadness,0.75
89,40089,@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next 2 months.,sadness,0.74
90,40090,Baaarissshhhhh + sad song =  prefect night — feeling alone,sadness,0.7290000000000001
91,40091,im so gloomy today,sadness,0.7290000000000001
92,40092,Honestly I've come to a place where I keep getting discouraged but just gotta tell myself to keep pushing through it.,sadness,0.7290000000000001
93,40093,. @KotakBankLtd @udaykotak official got in touch. Issue not addressed. #unhappy #patheticservices,sadness,0.7290000000000001
94,40094,Back in Cardiff after an amazing 10 days away 😭 #depressing,sadness,0.7290000000000001
95,40095,so lost i'm faded,sadness,0.7290000000000001
96,40096,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n #quotes #worstenemy  #thinktoomuch,sadness,0.7290000000000001
97,40097,@British_Airways just came of BA6426 at @ortambo_int at least 6 passengers with broken bags. This was a new suitcase. #unhappy customer,sadness,0.7290000000000001
98,40098,Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,sadness,0.7290000000000001
99,40099,"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",sadness,0.7290000000000001
100,40100,@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.,sadness,0.7290000000000001
101,40101,@rockcock64 cum and despair,sadness,0.7290000000000001
102,40102,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad,sadness,0.7290000000000001
103,40103,i is sad,sadness,0.7290000000000001
104,40104,"Wanna pop some pills, sedate myself, and wake up tomorrow.",sadness,0.7290000000000001
105,40105,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad,sadness,0.7290000000000001
106,40106,"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged",sadness,0.7290000000000001
107,40107,Don't wanna go to work but I want the money #sad,sadness,0.7290000000000001
108,40108,Wow the #Denver housing market is #depressing no places to buy in my range 😢 #FML,sadness,0.7290000000000001
109,40109,one ep of despair arc made me happy but and then i'm going back to future arc and i'm upset again.,sadness,0.7290000000000001
110,40110,I have not nap for 3 days in a row I'm very unhappy rn,sadness,0.7290000000000001
111,40111,@megalvz literally was gloomy for an hour,sadness,0.7290000000000001
112,40112,"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",sadness,0.7290000000000001
113,40113,"Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL",sadness,0.7290000000000001
114,40114,@TootingCommon stop!!! Don't make me laugh when I'm being sad.,sadness,0.708
115,40115,Condolences to the  JC and the Georges family.. ,sadness,0.708
116,40116,"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy",sadness,0.708
117,40117,Literally being here makes me depress tbh,sadness,0.708
118,40118,@wabermes The @RavalliRepublic had a good one but then the reporter quit. #sad,sadness,0.708
119,40119,"This room is rather dreary, but we endure what we must.",sadness,0.708
120,40120,where broken hearted lovers do cry away their gloom,sadness,0.708
121,40121,Another grim &amp; compelling news report by @Nawalf on the blockade of aid to the starving in #Yemen #BBC #dosomethingpoliticans,sadness,0.708
122,40122,@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,sadness,0.708
123,40123,@Uber_RSA when you click over and over again for a cupcake but there are no vehicles available... #sadness,sadness,0.708
124,40124,Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?,sadness,0.708
125,40125,I got diagnosed with severe-extreme depression and I didn't know there was a difference between those two lol,sadness,0.708
126,40126,#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,sadness,0.708
127,40127,Smokeys dad is sad :/,sadness,0.6890000000000001
128,40128,"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.",sadness,0.688
129,40129,@ryyyshh story of my life. #lost,sadness,0.688
130,40130,When will the weeks full of Mondays end?? #disheartened,sadness,0.688
131,40131,@HannahFJames I'm distraught! 😭 Candice and her pout can piss off,sadness,0.688
132,40132,@HutchinsonDave I don't know whether to despair or agitate for a cull.,sadness,0.688
133,40133,Can I just sulk in peace 😂,sadness,0.688
134,40134,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! ' #sad #ourworld,sadness,0.688
135,40135,MY CAR IS DENTED FROM THE HAIL sad,sadness,0.688
136,40136,From My head to think it was better but obviously it's not #relapse #sadness #sickness #madness #misunderstanding,sadness,0.688
137,40137,@WilsonsWorld I was in high school and remember helping neighbors clean up back home in Greenville.  Pretty sobering stuff.  #sadness,sadness,0.688
138,40138,I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy,sadness,0.688
139,40139,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,sadness,0.688
140,40140,"I forgot my hair straightner home, I'm feeling lost without it... #lost #lostWithoutMyHairStraightener",sadness,0.688
141,40141,And I won't even get started with Hillary and her fancy fundraisers! #depressing,sadness,0.688
142,40142,The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim,sadness,0.688
143,40143,When will the weeks full of Mondays end?? ,sadness,0.688
144,40144,@Samkingftw ew omg that is so grim,sadness,0.688
145,40145,@thatsabingo grim really,sadness,0.688
146,40146,With loyal heart is concerned. #somber,sadness,0.688
147,40147,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam,sadness,0.688
148,40148,@CNN yes. Too many cops. And too many ppl who should have lost their lives r still alive.,sadness,0.688
149,40149,"If you find me lost, will you stay as a passerby or will you get lost with me? #musings #melancholy",sadness,0.68
150,40150,I'm getting use to not having a phone it's sad ..,sadness,0.68
151,40151,"I'm slugging vitamin D pills by the handful, like they were m&amp;ms. When will this eternal winter end?! #Melbourne #grim #overit",sadness,0.675
152,40152,Sometimes the support network is causing the damage. \n\n #support #Damaged #alone #tired  #hurt #nojustice  #surivivor #NoMore,sadness,0.67
153,40153,@JUSTICESLUT420 sadly this sort of poster died by the 90s afaik,sadness,0.669
154,40154,@lucy_hyner @Soulboy2266 sadly not !! One less hour drinking time 😢🍻,sadness,0.667
155,40155,I was in the dark room for 58 minutes and failed every time I tried developing a photo I'm so frustrated with myself :'),sadness,0.667
156,40156,Mixed emotions. #sadness #anxietymaybe #missingfriends #growingupsucks #lostfriends #wheresthetruefriends #complications,sadness,0.667
157,40157,"@Jay_2752 thank you, I shall mourn her",sadness,0.667
158,40158,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,sadness,0.667
159,40159,"@Gervaisoholic But this is no easy ride for a child cries: \n'Oh, find me...find me, nothing more, \nWe are on a sullen misty moor...'",sadness,0.667
160,40160,"Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness",sadness,0.667
161,40161,Man Southampton will wipe the floor with  west ham on Sunday. So disheartened,sadness,0.667
162,40162,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,sadness,0.667
163,40163,Hate knowing I have to get up at half 5 for gym in the morning it's so depressing,sadness,0.667
164,40164,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy,sadness,0.667
165,40165,Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC,sadness,0.667
166,40166,Can we go back 2 weeks and start again ?? This is seriously dreadful,sadness,0.667
167,40167,I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18,sadness,0.667
168,40168,I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse,sadness,0.667
169,40169,"@midnight #EndTrumpweek please, it's #depressing me.",sadness,0.667
170,40170,@MHChat I think sadness is felt very strongly physically and mentally.  It feels like it takes over and it's hard to focus at work #MHChat,sadness,0.667
171,40171,@gagasklaine it's old sadly,sadness,0.667
172,40172,@TDYLN sadly not :(,sadness,0.667
173,40173,"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, #sad",sadness,0.667
174,40174,@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing,sadness,0.667
175,40175,It's way too hard not to get discouraged.,sadness,0.667
176,40176,as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging,sadness,0.667
177,40177,I've returned from the dead with a desire to clean the apartment and eat something that isn't garbage. #managing #depression,sadness,0.667
178,40178,@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy,sadness,0.667
179,40179,Even a pencil✏ never #stayed  with me until it's #end ⚫ 😞,sadness,0.667
180,40180,so gutted i dropped one of my earrings down the sink at school,sadness,0.667
181,40181,Having holiday blues! #WantToGoBackToMinehead.,sadness,0.6609999999999999
182,40182,I'd rather die alone then end up with somebody who can't be sober,sadness,0.66
183,40183,I don't think it's fully sunk in that Val is gone yet,sadness,0.654
184,40184,Hate being sober so I popped two,sadness,0.653
185,40185,"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair",sadness,0.6459999999999999
186,40186,"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there. #sad #ignorant",sadness,0.6459999999999999
187,40187,"@X_KIMTAEHYUNG_X \n— momentarily before it disappeared, only solemnity and anxiety lacing his features. \n\n'I ran out to get you before —",sadness,0.6459999999999999
188,40188,All the 'juniors' are now wearing purple at ollafest while I'm here fighting with my alarm about when I need to wake up for German #sadness,sadness,0.6459999999999999
189,40189,The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing 🙄🙄,sadness,0.6459999999999999
190,40190,Liam is too distant makes me mourn 😪,sadness,0.6459999999999999
191,40191,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable ,sadness,0.6459999999999999
192,40192,This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.,sadness,0.6459999999999999
193,40193,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad,sadness,0.6459999999999999
194,40194,Life is too short so dont shoot it in with worries sadness and grief.,sadness,0.6459999999999999
195,40195,Brb going to sulk in bed until Friday,sadness,0.6459999999999999
196,40196,"@LVLMLeah Nooooooooooooooooooooo. We have stupid, dismal, lame winters where we maybe get some dangerous ice once.",sadness,0.6459999999999999
197,40197,#RIPKara i could have seen her at a local mall or any school football games. im disheartened,sadness,0.6459999999999999
198,40198,@RossKemp great programme tonight #sad #upsetting #extremeworld,sadness,0.6459999999999999
199,40199,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr,sadness,0.64
200,40200,"But when my mom told me yesterday that it was looking grim and I started driving out there, I was told to turn around b/c she was too sick",sadness,0.64
201,40201,Isn't the whole 'it's been hijacked' argument the same argument used to ban or discourage the display of the St George's Cross? Shame @LBC,sadness,0.636
202,40202,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,sadness,0.625
203,40203,@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness,sadness,0.625
204,40204,"If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo.",sadness,0.625
205,40205,@laureeenwillam can't cope wi her sour face and tiny pout 😡😡,sadness,0.625
206,40206,"There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released...",sadness,0.625
207,40207,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam,sadness,0.625
208,40208,"@happyandbashful Flirt, simper, pout, repeat. Yuck.",sadness,0.625
209,40209,@el_tityboi bc it's a gloomy day Tony,sadness,0.625
210,40210,@rupindxr my heart actually sunk looooool I was so confused,sadness,0.625
211,40211,@jack_haug_lifty @eable It's Ms btw. we were lied to by Remain. dry your remainer tears; Just accept you #lost,sadness,0.625
212,40212,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,sadness,0.625
213,40213,I wonder what would happen if I were a father. #weary,sadness,0.625
214,40214,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall,sadness,0.625
215,40215,@MxJackMonroe I couldn't get on with it either. Bits started drooping that shouldn't droop. GP said mooncup alone to blame.,sadness,0.625
216,40216,@TaylaStJames it happens and Vegas isn't the only origin thats prevelant #sadly,sadness,0.625
217,40217,I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober,sadness,0.625
218,40218,When you have 15 doe run the opposite side of you 🙁 ,sadness,0.625
219,40219,"@Theshadeshit91 \nOh, I'm sorry about it, do not be sad yourself there is nothing important in the world to grieve about it",sadness,0.625
220,40220,"Because of 'failure of delivery on time', a customer has to pay 16K rupees more! - Not good @tiagotatamotors @TataMotors #unhappy",sadness,0.625
221,40221,@everton_de_leon @sterushton Genuinely grim stuff. Over a century of history sold off by some porn baron twats for a minty new stadium. Urgh,sadness,0.624
222,40222,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! '  #ourworld,sadness,0.618
223,40223,"@CCTakato at least in crystal every part of it is portrayed as being WRONG, the dark atmosphere, the fact that mamoru is brainwashed",sadness,0.613
224,40224,"Way too cool to die young, way too young to die sober.. #tunechi",sadness,0.604
225,40225,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,sadness,0.604
226,40226,I have no clue where my charger is... #lost,sadness,0.604
227,40227,@JohnRMoffitt This is the most grim piece of laughter I was stricken with all day.,sadness,0.604
228,40228,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,sadness,0.604
229,40229,"Having a nail half hanging off is absolutely fucking grim, even with my acrylic holding it on 😷😷",sadness,0.604
230,40230,Lost: Geelong football team. \nLast seen entering through the banner not sure where they've been since... #unhappy #playwithsomeheart,sadness,0.604
231,40231,@deshbhakthoon always unhappy and easily offended.,sadness,0.604
232,40232,What a sad day...1st day of Fall...I don't dislike Fall...I just LOVE Summer #FirstDayofFall #goodbyesummer #sadness #bathingsuitsforever,sadness,0.604
233,40233,@tgshepherdvan I'm not there yet. Hasn't sunk in yet. Rest up.,sadness,0.604
234,40234,Awareness of time is awareness of time lost. #awareness #time #lost,sadness,0.604
235,40235,@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -,sadness,0.604
236,40236,Gonna be a loooooong year as a Browns fan. Longer than normal and that's #sad,sadness,0.604
237,40237,@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed 😢,sadness,0.604
238,40238,"When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love 🎶",sadness,0.604
239,40239,Theyve substituted the hood for a badge and gun.' Public opinion is indictment of Charlotte police. #dark #sadtimes #america #race,sadness,0.604
240,40240,@MCFCDenver doing the exact same minus the beer sadly,sadness,0.604
241,40241,i miss the guy who always make me sulk,sadness,0.604
242,40242,Let us not burden our remembrances with a heaviness that's gone.\n- William Shakespeare (1564-1616)\n#forge ahead.,sadness,0.604
243,40243,Cause fail or pass I refuse to be sober,sadness,0.604
244,40244,@eehbahmum WHY?! Did they want to make you plummet in to the depths of despair??,sadness,0.604
245,40245,@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain,sadness,0.604
246,40246,So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.,sadness,0.604
247,40247,Hennessey - dreadful. Mutch - is he even on the pitch? Fryers - out of his depth unfortunately. #CPFC,sadness,0.604
248,40248,if you're unhappy with someone just fucking tell them you're unhappy and leave. Don't go fuckin around with other people on the side,sadness,0.604
249,40249,"conflicting reports on mama #RitaMarley health,mannn and i woke up today feeling like mi ole self(rejoice!!)now dis #sadness",sadness,0.604
250,40250,How can you blame the manager watching these players play? It's abysmal. Our team are dreadful. If Jose can't save us. No-one can.  #mufc,sadness,0.604
251,40251,The Sorrow is grim reminder of how bad I can be at video games and how I could get a bit too trigger happy at times. RIP #MGS3,sadness,0.604
252,40252,"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp",sadness,0.604
253,40253,@V_of_Europe @ckolacia MSM relentlessly saying DT can't win to: depress GOP turnout &amp; provide cover 4 stolen election!,sadness,0.604
254,40254,The voice is all about Miley and Alicia this year. No longer about the contestants. #sad @thevoice,sadness,0.604
255,40255,@chocorobos I have this one so I'm not so sad.. but wtf,sadness,0.583
256,40256,Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful,sadness,0.583
257,40257,"I get discouraged because I try for 5 fucking years a contact with Lady Gaga but are thousands of tweets, how she would see my tweet? :(",sadness,0.583
258,40258,"@big_SL8 Show some respect, that's all...  If u havent go to war u cant say anything.. U havent lost friends and mates on war, so Ahut it!!",sadness,0.583
259,40259,"Had to give up on The Blue Guitar, couldn't stand main character. Sort of skim-read to the end which got grim and unsettling . . . 1/2",sadness,0.583
260,40260,First a coat. Now a pair of sunglasses. Next it'll be a limb. #lost,sadness,0.583
261,40261,Some of these people at this protest are just there for the adrenaline rush. #depressing,sadness,0.583
262,40262,whenever i pout i just want Adrian to appear and tell me to stop pouting or else,sadness,0.583
263,40263,And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla,sadness,0.583
264,40264,"Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓#blog #selfhelp #depression",sadness,0.583
265,40265,she's always so insensitive whenever i grieve idgi,sadness,0.583
266,40266,@stevesingiser @POLITICO_Steve Put a damper on my mood.,sadness,0.583
267,40267,We lost,sadness,0.583
268,40268,@FantasyGuruSite I knew you were going to do that. I would definitely buy if I didn't live in Texas where you can't play DFS. ... so depress,sadness,0.583
269,40269,Romero is fucking dreadful like seriously my 11 month old is better than him.,sadness,0.583
270,40270,"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness",sadness,0.583
271,40271,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr,sadness,0.583
272,40272,"From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. #sad",sadness,0.583
273,40273,@DoubleEph sadly his best days are behind him,sadness,0.583
274,40274,"@groovydadad @MHChat 🙂ty I often conflate the two depression + sadness, but they are very different. This q reminded me of that #mhchat",sadness,0.583
275,40275,Don't let the behavior of others destroy ur inner peace.' -Dalai Lama @OWNTV #healing #depression #anxiety #intuition #meditation #book,sadness,0.583
276,40276,@AerLingus #business class #Los Angeles to Dublin #destroyed luggage #60 day customer response time #unhappy customer,sadness,0.583
277,40277,@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;),sadness,0.583
278,40278,"stg I been in pine bluff all morning and to piss me off even more, my damn shoes came in as a size 4!!!!!! I KNOW I SAID 6🙄🙄🙄🙄 FML",sadness,0.583
